plot_name,series,position,n,mean,std,q02_5,q25,median,q75,q97_5
n2_entropy_relative_curve,N2P,0.15294117647058825,122,0.6233554110194619,0.3353895297945525,0.05030509559192169,0.3759981159835737,0.6046957520250281,0.8252708070240711,1.352887340045114
n2_entropy_relative_curve,N2P,0.1568627450980392,122,0.6277182858551907,0.3415485365411902,0.07145633983299682,0.36617154124252665,0.613013574685146,0.8230563549774812,1.3403668935331492
n2_entropy_relative_curve,N2P,0.16078431372549018,122,0.6357557663804566,0.34657383192714936,0.04757304768659481,0.361001836537253,0.625475372835692,0.8197586067980844,1.323104653411867
n2_entropy_relative_curve,N2P,0.16470588235294117,122,0.6240154430127691,0.344481368338945,0.12684475222740288,0.3510848512908019,0.5862418230158626,0.8292546471552362,1.313344797021195
n2_entropy_relative_curve,N2P,0.16862745098039217,122,0.6346495847143,0.3476818079316019,0.06942126780344182,0.39835559492069517,0.579983969068953,0.8451077898459,1.3581460692779261
n2_entropy_relative_curve,N2P,0.17254901960784313,122,0.6368909345942596,0.36659711988808724,0.04592803347495205,0.3704963192967522,0.6324686737034888,0.8278867463077733,1.3912080640102646
n2_entropy_relative_curve,N2P,0.1764705882352941,122,0.646833826231884,0.36871204217072007,0.056419794498944555,0.3758305682636579,0.6218444629921454,0.874465700134191,1.4398095393739279
n2_entropy_relative_curve,N2P,0.1803921568627451,122,0.612062410250498,0.3530922405670809,0.0749007284324585,0.33818104011488914,0.6065532936733016,0.7963132221323034,1.3726700059658317
n2_entropy_relative_curve,N2P,0.1843137254901961,122,0.6059265032859099,0.34199385587439296,0.049825976356085544,0.34286120742703713,0.5275144422428467,0.8703432337993539,1.3205669123478994
n2_entropy_relative_curve,N2P,0.18823529411764706,122,0.6405177110643717,0.3481407164342113,0.11803305224939492,0.4017714111613815,0.5777484520511547,0.8551117204557016,1.3700016031848907
n2_entropy_relative_curve,N2P,0.19215686274509802,122,0.6063577813747574,0.35265537044389006,0.06529661226905664,0.341908573340585,0.570041998991468,0.7886105248171642,1.3643213260900082
n2_entropy_relative_curve,N2P,0.19607843137254902,122,0.6082150727136654,0.3482580655928033,0.10944986807798268,0.34091331498094546,0.5485377998572494,0.8123479778840352,1.4317493223956155
n2_entropy_relative_curve,N2P,0.2,122,0.6215029232025662,0.37529159325409467,0.07837059524692093,0.3720685879032478,0.5737892535785074,0.8419093511031193,1.4642434205577461
n2_entropy_relative_curve,N2P,0.20392156862745098,122,0.6288288105620699,0.35101253558270545,0.08210261954078879,0.35046121382527917,0.5965226756124676,0.8299306926927199,1.3862411316386252
n2_entropy_relative_curve,N2P,0.20784313725490194,122,0.6133717988356121,0.3336120015463888,0.10664920123806144,0.36587764790612454,0.5701809198635466,0.8375073012891368,1.3326898799453633
n2_entropy_relative_curve,N2P,0.21176470588235294,122,0.6036671032747285,0.33693783229297275,0.08663706836439596,0.3463701134651387,0.5601533212335547,0.7995550863134352,1.3263687726998232
n2_entropy_relative_curve,N2P,0.21568627450980393,122,0.6041528176704858,0.3413042929287343,0.07855857304689583,0.36857525303429794,0.5511100378405347,0.8197061717895436,1.3680446714927854
n2_entropy_relative_curve,N2P,0.2196078431372549,122,0.6116799255123855,0.33604269220290683,0.0989025824047536,0.36129510105619445,0.585428994366491,0.7944999494835184,1.369794112319169
n2_entropy_relative_curve,N2P,0.22352941176470587,122,0.6084951434497626,0.35057797925483836,0.06463090344454109,0.341993439332062,0.5663575549532215,0.8276883704713295,1.3924885911728233
n2_entropy_relative_curve,N2P,0.22745098039215686,122,0.6044391031951298,0.3314809529642861,0.06139908727522997,0.3557244784838138,0.5887631170338287,0.8233284343447346,1.3215254436370782
n2_entropy_relative_curve,N2P,0.23137254901960785,122,0.6134830801700267,0.3481045892192951,0.09830436751000349,0.34716745929299603,0.5677968348036719,0.7712078918473771,1.4077131193458983
